distrito nacional	DISTRITO NACIONAL
DISTRITO NACIONAL	DISTRITO NACIONAL
d.n.	DISTRITO NACIONAL
D.N.	DISTRITO NACIONAL
santo domingo	SANTO DOMINGO
SANTO DOMINGO	SANTO DOMINGO
s.d.	SANTO DOMINGO
S.D.	SANTO DOMINGO
santo domingo este	SANTO DOMINGO ESTE
SANTO DOMINGO ESTE	SANTO DOMINGO ESTE
s.d.e.	SANTO DOMINGO ESTE
S.D.E.	SANTO DOMINGO ESTE
santo domingo oeste	SANTO DOMINGO OESTE
SANTO DOMINGO OESTE	SANTO DOMINGO OESTE
s.d.o.	SANTO DOMINGO OESTE
S.D.O.	SANTO DOMINGO OESTE
santo domingo norte	SANTO DOMINGO NORTE
SANTO DOMINGO NORTE	SANTO DOMINGO NORTE
s.d.n.	SANTO DOMINGO NORTE
S.D.N.	SANTO DOMINGO NORTE
boca chica	BOCA CHICA
BOCA CHICA	BOCA CHICA
b.c.	BOCA CHICA
B.C.	BOCA CHICA
san antonio de guerra	SAN ANTONIO DE GUERRA
SAN ANTONIO DE GUERRA	SAN ANTONIO DE GUERRA
s.a.g.	SAN ANTONIO DE GUERRA
S.A.G.	SAN ANTONIO DE GUERRA
los alcarrizos	LOS ALCARRIZOS
LOS ALCARRIZOS	LOS ALCARRIZOS
l.a.	LOS ALCARRIZOS
L.A.	LOS ALCARRIZOS
pedro brand	PEDRO BRAND
PEDRO BRAND	PEDRO BRAND
p.b.	PEDRO BRAND
P.B.	PEDRO BRAND
azua	AZUA
AZUA	AZUA
az.	AZUA
AZ.	AZUA
azua de compostela	AZUA DE COMPOSTELA
AZUA DE COMPOSTELA	AZUA DE COMPOSTELA
az.c.	AZUA DE COMPOSTELA
AZ.C.	AZUA DE COMPOSTELA
bahoruco	BAHORUCO
BAHORUCO	BAHORUCO
ba.	BAHORUCO
BA.	BAHORUCO
neiba	NEIBA
NEIBA	NEIBA
nei.	NEIBA
NEI.	NEIBA
barahona	BARAHONA
BARAHONA	BARAHONA
ba.	BARAHONA
BA.	BARAHONA
santa cruz de barahona	SANTA CRUZ DE BARAHONA
SANTA CRUZ DE BARAHONA	SANTA CRUZ DE BARAHONA
s.c.b.	SANTA CRUZ DE BARAHONA
S.C.B.	SANTA CRUZ DE BARAHONA
dajabón	DAJABÓN
DAJABÓN	DAJABÓN
da.	DAJABÓN
DA.	DAJABÓN
el seibo	EL SEIBO
EL SEIBO	EL SEIBO
e.s.	EL SEIBO
E.S.	EL SEIBO
hato mayor	HATO MAYOR
HATO MAYOR	HATO MAYOR
h.m.	HATO MAYOR
H.M.	HATO MAYOR
higüey	HIGÜEY
HIGÜEY	HIGÜEY
hig.	HIGÜEY
HIG.	HIGÜEY
independencia	INDEPENDENCIA
INDEPENDENCIA	INDEPENDENCIA
ind.	INDEPENDENCIA
IND.	INDEPENDENCIA
jimani	JIMANÍ
JIMANI	JIMANÍ
jim.	JIMANÍ
JIM.	JIMANÍ
la altagracia	LA ALTAGRACIA
LA ALTAGRACIA	LA ALTAGRACIA
l.a.	LA ALTAGRACIA
L.A.	LA ALTAGRACIA
la romana	LA ROMANA
LA ROMANA	LA ROMANA
l.r.	LA ROMANA
L.R.	LA ROMANA
la vega	LA VEGA
LA VEGA	LA VEGA
l.v.	LA VEGA
L.V.	LA VEGA
moca	MOCA
MOCA	MOCA
moc.	MOCA
MOC.	MOCA
monseñor nouel	MONSEÑOR NOUEL
MONSEÑOR NOUEL	MONSEÑOR NOUEL
m.n.	MONSEÑOR NOUEL
M.N.	MONSEÑOR NOUEL
monte plata	MONTE PLATA
MONTE PLATA	MONTE PLATA
m.p.	MONTE PLATA
M.P.	MONTE PLATA
puerto plata	PUERTO PLATA
PUERTO PLATA	PUERTO PLATA
p.p.	PUERTO PLATA
P.P.	PUERTO PLATA
samana	SAMANÁ
SAMANA	SAMANÁ
sam.	SAMANÁ
SAM.	SAMANÁ
san cristóbal	SAN CRISTÓBAL
SAN CRISTÓBAL	SAN CRISTÓBAL
s.c.	SAN CRISTÓBAL
S.C.	SAN CRISTÓBAL
san francisco de macorís	SAN FRANCISCO DE MACORÍS
SAN FRANCISCO DE MACORÍS	SAN FRANCISCO DE MACORÍS
s.f.m.	SAN FRANCISCO DE MACORÍS
S.F.M.	SAN FRANCISCO DE MACORÍS
san juan	SAN JUAN
SAN JUAN	SAN JUAN
s.j.	SAN JUAN
S.J.	SAN JUAN
san pedro de macorís	SAN PEDRO DE MACORÍS
SAN PEDRO DE MACORÍS	SAN PEDRO DE MACORÍS
s.p.m.	SAN PEDRO DE MACORÍS
S.P.M.	SAN PEDRO DE MACORÍS
santiago	SANTIAGO
SANTIAGO	SANTIAGO
stg.	SANTIAGO
STG.	SANTIAGO
santiago rodríguez	SANTIAGO RODRÍGUEZ
SANTIAGO RODRÍGUEZ	SANTIAGO RODRÍGUEZ
s.r.	SANTIAGO RODRÍGUEZ
S.R.	SANTIAGO RODRÍGUEZ
santo domingo	SANTO DOMINGO
SANTO DOMINGO	SANTO DOMINGO
s.d.	SANTO DOMINGO
S.D.	SANTO DOMINGO
valverde	VALVERDE
VALVERDE	VALVERDE
val.	VALVERDE
VAL.	VALVERDE
